TestNum,TESTNAME, FT LoLim,FT HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA1 LoLim,QA1 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA2 LoLim,QA2 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA3 LoLim,QA3 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit
6038,IIL_PWM9,-500,500,scaleNano,A,,%1.3f,,,,,6038,IIL_PWM9,-1000,1000,scaleNano,A,,%1.3f,,,,,6038,IIL_PWM9,-1000,1000,scaleNano,A,,%1.3f,,,,,6038,IIL_PWM9,-1000,1000,scaleNano,A,,%1.3f,,
6039,IIL_PWM7,-500,500,scaleNano,A,,%1.3f,,,,,6039,IIL_PWM7,-1000,1000,scaleNano,A,,%1.3f,,,,,6039,IIL_PWM7,-1000,1000,scaleNano,A,,%1.3f,,,,,6039,IIL_PWM7,-1000,1000,scaleNano,A,,%1.3f,,
6040,IIL_PWM5,-500,500,scaleNano,A,,%1.3f,,,,,6040,IIL_PWM5,-1000,1000,scaleNano,A,,%1.3f,,,,,6040,IIL_PWM5,-1000,1000,scaleNano,A,,%1.3f,,,,,6040,IIL_PWM5,-1000,1000,scaleNano,A,,%1.3f,,
6041,IIL_PWM3,-500,500,scaleNano,A,,%1.3f,,,,,6041,IIL_PWM3,-1000,1000,scaleNano,A,,%1.3f,,,,,6041,IIL_PWM3,-1000,1000,scaleNano,A,,%1.3f,,,,,6041,IIL_PWM3,-1000,1000,scaleNano,A,,%1.3f,,
6042,IIL_PWM1,-500,500,scaleNano,A,,%1.3f,,,,,6042,IIL_PWM1,-1000,1000,scaleNano,A,,%1.3f,,,,,6042,IIL_PWM1,-1000,1000,scaleNano,A,,%1.3f,,,,,6042,IIL_PWM1,-1000,1000,scaleNano,A,,%1.3f,,
6043,IIL_SCL,-500,500,scaleNano,A,,%1.3f,,,,,6043,IIL_SCL,-1000,1000,scaleNano,A,,%1.3f,,,,,6043,IIL_SCL,-1000,1000,scaleNano,A,,%1.3f,,,,,6043,IIL_SCL,-1000,1000,scaleNano,A,,%1.3f,,
6044,IIL_AVRRDY,-500,500,scaleNano,A,,%1.3f,,,,,6044,IIL_AVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6044,IIL_AVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6044,IIL_AVRRDY,-1000,1000,scaleNano,A,,%1.3f,,
6045,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,,,,6045,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,,,,6045,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,,,,6045,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,
6046,IIL_MP_BVRRDY,-500,500,scaleNano,A,,%1.3f,,,,,6046,IIL_MP_BVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6046,IIL_MP_BVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6046,IIL_MP_BVRRDY,-1000,1000,scaleNano,A,,%1.3f,,
6047,IIL_VDIO,-500,500,scaleNano,A,,%1.3f,,,,,6047,IIL_VDIO,-1000,1000,scaleNano,A,,%1.3f,,,,,6047,IIL_VDIO,-1000,1000,scaleNano,A,,%1.3f,,,,,6047,IIL_VDIO,-1000,1000,scaleNano,A,,%1.3f,,
6048,IIL_MP_IMON,-500,500,scaleNano,A,,%1.3f,,,,,6048,IIL_MP_IMON,-1000,1000,scaleNano,A,,%1.3f,,,,,6048,IIL_MP_IMON,-1000,1000,scaleNano,A,,%1.3f,,,,,6048,IIL_MP_IMON,-1000,1000,scaleNano,A,,%1.3f,,
6049,IIL_AVREF,-500,500,scaleNano,A,,%1.3f,,,,,6049,IIL_AVREF,-1000,1000,scaleNano,A,,%1.3f,,,,,6049,IIL_AVREF,-1000,1000,scaleNano,A,,%1.3f,,,,,6049,IIL_AVREF,-1000,1000,scaleNano,A,,%1.3f,,
6050,IIL_ISEN2,-500,500,scaleNano,A,,%1.3f,,,,,6050,IIL_ISEN2,-1000,1000,scaleNano,A,,%1.3f,,,,,6050,IIL_ISEN2,-1000,1000,scaleNano,A,,%1.3f,,,,,6050,IIL_ISEN2,-1000,1000,scaleNano,A,,%1.3f,,
6051,IIL_ISEN4,-500,500,scaleNano,A,,%1.3f,,,,,6051,IIL_ISEN4,-1000,1000,scaleNano,A,,%1.3f,,,,,6051,IIL_ISEN4,-1000,1000,scaleNano,A,,%1.3f,,,,,6051,IIL_ISEN4,-1000,1000,scaleNano,A,,%1.3f,,
6052,IIL_ISEN6,-500,500,scaleNano,A,,%1.3f,,,,,6052,IIL_ISEN6,-1000,1000,scaleNano,A,,%1.3f,,,,,6052,IIL_ISEN6,-1000,1000,scaleNano,A,,%1.3f,,,,,6052,IIL_ISEN6,-1000,1000,scaleNano,A,,%1.3f,,
6053,IIL_ISEN8,-500,500,scaleNano,A,,%1.3f,,,,,6053,IIL_ISEN8,-1000,1000,scaleNano,A,,%1.3f,,,,,6053,IIL_ISEN8,-1000,1000,scaleNano,A,,%1.3f,,,,,6053,IIL_ISEN8,-1000,1000,scaleNano,A,,%1.3f,,
6054,IIL_ISEN10,-500,500,scaleNano,A,,%1.3f,,,,,6054,IIL_ISEN10,-1000,1000,scaleNano,A,,%1.3f,,,,,6054,IIL_ISEN10,-1000,1000,scaleNano,A,,%1.3f,,,,,6054,IIL_ISEN10,-1000,1000,scaleNano,A,,%1.3f,,
6055,IIL_ISEN12,-500,500,scaleNano,A,,%1.3f,,,,,6055,IIL_ISEN12,-1000,1000,scaleNano,A,,%1.3f,,,,,6055,IIL_ISEN12,-1000,1000,scaleNano,A,,%1.3f,,,,,6055,IIL_ISEN12,-1000,1000,scaleNano,A,,%1.3f,,
6056,IIL_ISEN14,-500,500,scaleNano,A,,%1.3f,,,,,6056,IIL_ISEN14,-1000,1000,scaleNano,A,,%1.3f,,,,,6056,IIL_ISEN14,-1000,1000,scaleNano,A,,%1.3f,,,,,6056,IIL_ISEN14,-1000,1000,scaleNano,A,,%1.3f,,
6057,IIL_ISEN16,-500,500,scaleNano,A,,%1.3f,,,,,6057,IIL_ISEN16,-1000,1000,scaleNano,A,,%1.3f,,,,,6057,IIL_ISEN16,-1000,1000,scaleNano,A,,%1.3f,,,,,6057,IIL_ISEN16,-1000,1000,scaleNano,A,,%1.3f,,
6058,IIL_BVSEN,-500,500,scaleNano,A,,%1.3f,,,,,6058,IIL_BVSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6058,IIL_BVSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6058,IIL_BVSEN,-1000,1000,scaleNano,A,,%1.3f,,
6059,IIL_XADDR1,-1000,100,scaleNano,A,,%1.3f,,,,,6059,IIL_XADDR1,-1000,100,scaleNano,A,,%1.3f,,,,,6059,IIL_XADDR1,-1000,100,scaleNano,A,,%1.3f,,,,,6059,IIL_XADDR1,-1000,100,scaleNano,A,,%1.3f,,
6060,IIL_TSEN2_ISYS_VAUX,-1000,100,scaleNano,A,,%1.3f,,,,,6060,IIL_TSEN2_ISYS_VAUX,-1000,100,scaleNano,A,,%1.3f,,,,,6060,IIL_TSEN2_ISYS_VAUX,-1000,100,scaleNano,A,,%1.3f,,,,,6060,IIL_TSEN2_ISYS_VAUX,-1000,100,scaleNano,A,,%1.3f,,
6061,IIL_TSEN2_VAUX,-1000,100,scaleNano,A,,%1.3f,,,,,6061,IIL_TSEN2_VAUX,-1000,100,scaleNano,A,,%1.3f,,,,,6061,IIL_TSEN2_VAUX,-1000,100,scaleNano,A,,%1.3f,,,,,6061,IIL_TSEN2_VAUX,-1000,100,scaleNano,A,,%1.3f,,
6062,IIL_PSYSN_VINSEN,-500,500,scaleNano,A,,%1.3f,,,,,6062,IIL_PSYSN_VINSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6062,IIL_PSYSN_VINSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6062,IIL_PSYSN_VINSEN,-1000,1000,scaleNano,A,,%1.3f,,
6063,IIL_PSYSN,-500,500,scaleNano,A,,%1.3f,,,,,6063,IIL_PSYSN,-1000,1000,scaleNano,A,,%1.3f,,,,,6063,IIL_PSYSN,-1000,1000,scaleNano,A,,%1.3f,,,,,6063,IIL_PSYSN,-1000,1000,scaleNano,A,,%1.3f,,
6064,IIL_PSYSN_VINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,,,,6064,IIL_PSYSN_VINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,,,,6064,IIL_PSYSN_VINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,,,,6064,IIL_PSYSN_VINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,
6065,IIL_RSTL,-1000,100,scaleNano,A,,%1.3f,,,,,6065,IIL_RSTL,-1000,100,scaleNano,A,,%1.3f,,,,,6065,IIL_RSTL,-1000,100,scaleNano,A,,%1.3f,,,,,6065,IIL_RSTL,-1000,100,scaleNano,A,,%1.3f,,
6066,IIL_SVC,-500,500,scaleNano,A,,%1.3f,,,,,6066,IIL_SVC,-1000,1000,scaleNano,A,,%1.3f,,,,,6066,IIL_SVC,-1000,1000,scaleNano,A,,%1.3f,,,,,6066,IIL_SVC,-1000,1000,scaleNano,A,,%1.3f,,
6067,IIL_SVTI,-1000,100,scaleNano,A,,%1.3f,,,,,6067,IIL_SVTI,-1000,100,scaleNano,A,,%1.3f,,,,,6067,IIL_SVTI,-1000,100,scaleNano,A,,%1.3f,,,,,6067,IIL_SVTI,-1000,100,scaleNano,A,,%1.3f,,
6068,IIL_XADDR1_BVREN,-500,500,scaleNano,A,,%1.3f,,,,,6068,IIL_XADDR1_BVREN,-1000,1000,scaleNano,A,,%1.3f,,,,,6068,IIL_XADDR1_BVREN,-1000,1000,scaleNano,A,,%1.3f,,,,,6068,IIL_XADDR1_BVREN,-1000,1000,scaleNano,A,,%1.3f,,
6069,IIL_TSEN1,-1000,100,scaleNano,A,,%1.3f,,,,,6069,IIL_TSEN1,-1000,100,scaleNano,A,,%1.3f,,,,,6069,IIL_TSEN1,-1000,100,scaleNano,A,,%1.3f,,,,,6069,IIL_TSEN1,-1000,100,scaleNano,A,,%1.3f,,
6070,IIL_VINSEN,-500,500,scaleNano,A,,%1.3f,,,,,6070,IIL_VINSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6070,IIL_VINSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6070,IIL_VINSEN,-1000,1000,scaleNano,A,,%1.3f,,
6071,IIL_MP_FAULT1_OCPL,-500,500,scaleNano,A,,%1.3f,,,,,6071,IIL_MP_FAULT1_OCPL,-1000,1000,scaleNano,A,,%1.3f,,,,,6071,IIL_MP_FAULT1_OCPL,-1000,1000,scaleNano,A,,%1.3f,,,,,6071,IIL_MP_FAULT1_OCPL,-1000,1000,scaleNano,A,,%1.3f,,
6072,IIL_PSYS_BYP,-1000,100,scaleNano,A,,%1.3f,,,,,6072,IIL_PSYS_BYP,-1000,100,scaleNano,A,,%1.3f,,,,,6072,IIL_PSYS_BYP,-1000,100,scaleNano,A,,%1.3f,,,,,6072,IIL_PSYS_BYP,-1000,100,scaleNano,A,,%1.3f,,
6073,IIL_PSYS_CAL,-1000,100,scaleNano,A,,%1.3f,,,,,6073,IIL_PSYS_CAL,-1000,100,scaleNano,A,,%1.3f,,,,,6073,IIL_PSYS_CAL,-1000,100,scaleNano,A,,%1.3f,,,,,6073,IIL_PSYS_CAL,-1000,100,scaleNano,A,,%1.3f,,
6074,IIL_VRHOTN_RSTL,-500,500,scaleNano,A,,%1.3f,,,,,6074,IIL_VRHOTN_RSTL,-1000,1000,scaleNano,A,,%1.3f,,,,,6074,IIL_VRHOTN_RSTL,-1000,1000,scaleNano,A,,%1.3f,,,,,6074,IIL_VRHOTN_RSTL,-1000,1000,scaleNano,A,,%1.3f,,
6075,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,,,,6075,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,,,,6075,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,,,,6075,IIL_VRHOTN,-1000,100,scaleNano,A,,%1.3f,,
6076,IIL_AVS_CLK,-1000,100,scaleNano,A,,%1.3f,,,,,6076,IIL_AVS_CLK,-1000,100,scaleNano,A,,%1.3f,,,,,6076,IIL_AVS_CLK,-1000,100,scaleNano,A,,%1.3f,,,,,6076,IIL_AVS_CLK,-1000,100,scaleNano,A,,%1.3f,,
6077,IIL_AVS_MDAT,-1000,100,scaleNano,A,,%1.3f,,,,,6077,IIL_AVS_MDAT,-1000,100,scaleNano,A,,%1.3f,,,,,6077,IIL_AVS_MDAT,-1000,100,scaleNano,A,,%1.3f,,,,,6077,IIL_AVS_MDAT,-1000,100,scaleNano,A,,%1.3f,,
6078,IIL_AVS_SDAT,-1000,100,scaleNano,A,,%1.3f,,,,,6078,IIL_AVS_SDAT,-1000,100,scaleNano,A,,%1.3f,,,,,6078,IIL_AVS_SDAT,-1000,100,scaleNano,A,,%1.3f,,,,,6078,IIL_AVS_SDAT,-1000,100,scaleNano,A,,%1.3f,,
6079,IIL_ATSEN,-500,500,scaleNano,A,,%1.3f,,,,,6079,IIL_ATSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6079,IIL_ATSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6079,IIL_ATSEN,-1000,1000,scaleNano,A,,%1.3f,,
6080,IIL_BTSEN,-500,500,scaleNano,A,,%1.3f,,,,,6080,IIL_BTSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6080,IIL_BTSEN,-1000,1000,scaleNano,A,,%1.3f,,,,,6080,IIL_BTSEN,-1000,1000,scaleNano,A,,%1.3f,,
6081,IIL_PSYSP_IINSEN_3p3V,-500,500,scaleNano,A,,%1.3f,,,,,6081,IIL_PSYSP_IINSEN_3p3V,-1000,1000,scaleNano,A,,%1.3f,,,,,6081,IIL_PSYSP_IINSEN_3p3V,-1000,1000,scaleNano,A,,%1.3f,,,,,6081,IIL_PSYSP_IINSEN_3p3V,-1000,1000,scaleNano,A,,%1.3f,,
6082,IIL_PSYSN_VINSEN_3p3V,-1000,100,scaleNano,A,,%1.3f,,,,,6082,IIL_PSYSN_VINSEN_3p3V,-1000,100,scaleNano,A,,%1.3f,,,,,6082,IIL_PSYSN_VINSEN_3p3V,-1000,100,scaleNano,A,,%1.3f,,,,,6082,IIL_PSYSN_VINSEN_3p3V,-1000,100,scaleNano,A,,%1.3f,,
6083,IIL_PSYSP_VSYS_IINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,,,,6083,IIL_PSYSP_VSYS_IINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,,,,6083,IIL_PSYSP_VSYS_IINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,,,,6083,IIL_PSYSP_VSYS_IINSEN_16V,-1000,100,scaleNano,A,,%1.3f,,
6084,IIL_ZION_VSENSE,-1000,100,scaleNano,A,,%1.3f,,,,,6084,IIL_ZION_VSENSE,-1000,100,scaleNano,A,,%1.3f,,,,,6084,IIL_ZION_VSENSE,-1000,100,scaleNano,A,,%1.3f,,,,,6084,IIL_ZION_VSENSE,-1000,100,scaleNano,A,,%1.3f,,
6085,IIL_VD3p3,-1000,100,scaleNano,A,,%1.3f,,,,,6085,IIL_VD3p3,-1000,100,scaleNano,A,,%1.3f,,,,,6085,IIL_VD3p3,-1000,100,scaleNano,A,,%1.3f,,,,,6085,IIL_VD3p3,-1000,100,scaleNano,A,,%1.3f,,
6086,IIL_VD1p2,-1000,100,scaleNano,A,,%1.3f,,,,,6086,IIL_VD1p2,-1000,100,scaleNano,A,,%1.3f,,,,,6086,IIL_VD1p2,-1000,100,scaleNano,A,,%1.3f,,,,,6086,IIL_VD1p2,-1000,100,scaleNano,A,,%1.3f,,
6200,IIH_PWM16,-500,500,scaleNano,A,,%1.3f,,,,,6200,IIH_PWM16,-1000,1000,scaleNano,A,,%1.3f,,,,,6200,IIH_PWM16,-1000,1000,scaleNano,A,,%1.3f,,,,,6200,IIH_PWM16,-1000,2000,scaleNano,A,,%1.3f,,
6201,IIH_PWM15,-500,500,scaleNano,A,,%1.3f,,,,,6201,IIH_PWM15,-1000,1000,scaleNano,A,,%1.3f,,,,,6201,IIH_PWM15,-1000,1000,scaleNano,A,,%1.3f,,,,,6201,IIH_PWM15,-1000,2000,scaleNano,A,,%1.3f,,
6202,IIH_PWM14,-500,500,scaleNano,A,,%1.3f,,,,,6202,IIH_PWM14,-1000,1000,scaleNano,A,,%1.3f,,,,,6202,IIH_PWM14,-1000,1000,scaleNano,A,,%1.3f,,,,,6202,IIH_PWM14,-1000,2000,scaleNano,A,,%1.3f,,
6203,IIH_PWM13,-500,500,scaleNano,A,,%1.3f,,,,,6203,IIH_PWM13,-1000,1000,scaleNano,A,,%1.3f,,,,,6203,IIH_PWM13,-1000,1000,scaleNano,A,,%1.3f,,,,,6203,IIH_PWM13,-1000,2000,scaleNano,A,,%1.3f,,
6204,IIH_PWM12,-500,500,scaleNano,A,,%1.3f,,,,,6204,IIH_PWM12,-1000,1000,scaleNano,A,,%1.3f,,,,,6204,IIH_PWM12,-1000,1000,scaleNano,A,,%1.3f,,,,,6204,IIH_PWM12,-1000,2000,scaleNano,A,,%1.3f,,
6205,IIH_PWM11,-500,500,scaleNano,A,,%1.3f,,,,,6205,IIH_PWM11,-1000,1000,scaleNano,A,,%1.3f,,,,,6205,IIH_PWM11,-1000,1000,scaleNano,A,,%1.3f,,,,,6205,IIH_PWM11,-1000,2000,scaleNano,A,,%1.3f,,
6206,IIH_PWM10,-500,500,scaleNano,A,,%1.3f,,,,,6206,IIH_PWM10,-1000,1000,scaleNano,A,,%1.3f,,,,,6206,IIH_PWM10,-1000,1000,scaleNano,A,,%1.3f,,,,,6206,IIH_PWM10,-1000,2000,scaleNano,A,,%1.3f,,
6207,IIH_PWM9,-500,500,scaleNano,A,,%1.3f,,,,,6207,IIH_PWM9,-1000,1000,scaleNano,A,,%1.3f,,,,,6207,IIH_PWM9,-1000,1000,scaleNano,A,,%1.3f,,,,,6207,IIH_PWM9,-1000,2000,scaleNano,A,,%1.3f,,
6208,IIH_PWM8,-500,500,scaleNano,A,,%1.3f,,,,,6208,IIH_PWM8,-1000,1000,scaleNano,A,,%1.3f,,,,,6208,IIH_PWM8,-1000,1000,scaleNano,A,,%1.3f,,,,,6208,IIH_PWM8,-1000,2000,scaleNano,A,,%1.3f,,
6209,IIH_PWM7,-500,500,scaleNano,A,,%1.3f,,,,,6209,IIH_PWM7,-1000,1000,scaleNano,A,,%1.3f,,,,,6209,IIH_PWM7,-1000,1000,scaleNano,A,,%1.3f,,,,,6209,IIH_PWM7,-1000,2000,scaleNano,A,,%1.3f,,
6210,IIH_PWM6,-500,500,scaleNano,A,,%1.3f,,,,,6210,IIH_PWM6,-1000,1000,scaleNano,A,,%1.3f,,,,,6210,IIH_PWM6,-1000,1000,scaleNano,A,,%1.3f,,,,,6210,IIH_PWM6,-1000,2000,scaleNano,A,,%1.3f,,
6211,IIH_PWM5,-500,500,scaleNano,A,,%1.3f,,,,,6211,IIH_PWM5,-1000,1000,scaleNano,A,,%1.3f,,,,,6211,IIH_PWM5,-1000,1000,scaleNano,A,,%1.3f,,,,,6211,IIH_PWM5,-1000,2000,scaleNano,A,,%1.3f,,
6212,IIH_PWM4,-500,500,scaleNano,A,,%1.3f,,,,,6212,IIH_PWM4,-1000,1000,scaleNano,A,,%1.3f,,,,,6212,IIH_PWM4,-1000,1000,scaleNano,A,,%1.3f,,,,,6212,IIH_PWM4,-1000,2000,scaleNano,A,,%1.3f,,
6213,IIH_PWM3,-500,500,scaleNano,A,,%1.3f,,,,,6213,IIH_PWM3,-1000,1000,scaleNano,A,,%1.3f,,,,,6213,IIH_PWM3,-1000,1000,scaleNano,A,,%1.3f,,,,,6213,IIH_PWM3,-1000,2000,scaleNano,A,,%1.3f,,
6214,IIH_PWM2,-500,500,scaleNano,A,,%1.3f,,,,,6214,IIH_PWM2,-1000,1000,scaleNano,A,,%1.3f,,,,,6214,IIH_PWM2,-1000,1000,scaleNano,A,,%1.3f,,,,,6214,IIH_PWM2,-1000,2000,scaleNano,A,,%1.3f,,
6215,IIH_PWM1,-500,500,scaleNano,A,,%1.3f,,,,,6215,IIH_PWM1,-1000,1000,scaleNano,A,,%1.3f,,,,,6215,IIH_PWM1,-1000,1000,scaleNano,A,,%1.3f,,,,,6215,IIH_PWM1,-1000,2000,scaleNano,A,,%1.3f,,
6216,IIH_MP_SMBALERTN,-500,500,scaleNano,A,,%1.3f,,,,,6216,IIH_MP_SMBALERTN,-1000,1000,scaleNano,A,,%1.3f,,,,,6216,IIH_MP_SMBALERTN,-1000,1000,scaleNano,A,,%1.3f,,,,,6216,IIH_MP_SMBALERTN,-1000,2000,scaleNano,A,,%1.3f,,
6217,IIH_AVRRDY,-500,500,scaleNano,A,,%1.3f,,,,,6217,IIH_AVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6217,IIH_AVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6217,IIH_AVRRDY,-1000,4000,scaleNano,A,,%1.3f,,
6218,IIH_AVREN,-500,500,scaleNano,A,,%1.3f,,,,,6218,IIH_AVREN,-1000,1000,scaleNano,A,,%1.3f,,,,,6218,IIH_AVREN,-1000,1000,scaleNano,A,,%1.3f,,,,,6218,IIH_AVREN,-1000,4000,scaleNano,A,,%1.3f,,
6219,IIH_VRHOTN_RSTL,-100,1000,scaleNano,A,,%1.3f,,,,,6219,IIH_VRHOTN_RSTL,-100,1000,scaleNano,A,,%1.3f,,,,,6219,IIH_VRHOTN_RSTL,-100,1000,scaleNano,A,,%1.3f,,,,,6219,IIH_VRHOTN_RSTL,-100,1000,scaleNano,A,,%1.3f,,
6220,IIH_MP_PINALERTN,-500,500,scaleNano,A,,%1.3f,,,,,6220,IIH_MP_PINALERTN,-1000,1000,scaleNano,A,,%1.3f,,,,,6220,IIH_MP_PINALERTN,-1000,1000,scaleNano,A,,%1.3f,,,,,6220,IIH_MP_PINALERTN,-1000,1000,scaleNano,A,,%1.3f,,
6221,IIH_SDA,-500,500,scaleNano,A,,%1.3f,,,,,6221,IIH_SDA,-1000,1000,scaleNano,A,,%1.3f,,,,,6221,IIH_SDA,-1000,1000,scaleNano,A,,%1.3f,,,,,6221,IIH_SDA,-1000,1000,scaleNano,A,,%1.3f,,
6222,IIH_SCL,-500,500,scaleNano,A,,%1.3f,,,,,6222,IIH_SCL,-1000,1000,scaleNano,A,,%1.3f,,,,,6222,IIH_SCL,-1000,1000,scaleNano,A,,%1.3f,,,,,6222,IIH_SCL,-1000,1000,scaleNano,A,,%1.3f,,
6223,IIH_MP_BVRRDY,-500,500,scaleNano,A,,%1.3f,,,,,6223,IIH_MP_BVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6223,IIH_MP_BVRRDY,-1000,1000,scaleNano,A,,%1.3f,,,,,6223,IIH_MP_BVRRDY,-1000,4000,scaleNano,A,,%1.3f,,
6224,IIH_VCLK,-500,500,scaleNano,A,,%1.3f,,,,,6224,IIH_VCLK,-1000,1000,scaleNano,A,,%1.3f,,,,,6224,IIH_VCLK,-1000,1000,scaleNano,A,,%1.3f,,,,,6224,IIH_VCLK,-1000,1000,scaleNano,A,,%1.3f,,
6225,IIH_VDIO,-500,500,scaleNano,A,,%1.3f,,,,,6225,IIH_VDIO,-1000,1000,scaleNano,A,,%1.3f,,,,,6225,IIH_VDIO,-1000,1000,scaleNano,A,,%1.3f,,,,,6225,IIH_VDIO,-1000,1000,scaleNano,A,,%1.3f,,
6226,IIH_MP_IMON,-500,500,scaleNano,A,,%1.3f,,,,,6226,IIH_MP_IMON,-1000,1000,scaleNano,A,,%1.3f,,,,,6226,IIH_MP_IMON,-1000,1000,scaleNano,A,,%1.3f,,,,,6226,IIH_MP_IMON,-1000,1000,scaleNano,A,,%1.3f,,
6227,IIH_MP_FAULT1_OCPL,-500,500,scaleNano,A,,%1.3f,,,,,6227,IIH_MP_FAULT1_OCPL,-1000,1000,scaleNano,A,,%1.3f,,,,,6227,IIH_MP_FAULT1_OCPL,-1000,1000,scaleNano,A,,%1.3f,,,,,6227,IIH_MP_FAULT1_OCPL,-1000,4000,scaleNano,A,,%1.3f,,
6228,IIH_XADDR1_BVREN,-500,500,scaleNano,A,,%1.3f,,,,,6228,IIH_XADDR1_BVREN,-1000,1000,scaleNano,A,,%1.3f,,,,,6228,IIH_XADDR1_BVREN,-1000,1000,scaleNano,A,,%1.3f,,,,,6228,IIH_XADDR1_BVREN,-1000,4000,scaleNano,A,,%1.3f,,
6229,IIH_VALERTN,-500,500,scaleNano,A,,%1.3f,,,,,6229,IIH_VALERTN,-1000,1000,scaleNano,A,,%1.3f,,,,,6229,IIH_VALERTN,-1000,1000,scaleNano,A,,%1.3f,,,,,6229,IIH_VALERTN,-1000,1000,scaleNano,A,,%1.3f,,
6230,IIH_ISEN1,-500,500,scaleNano,A,,%1.3f,,,,,6230,IIH_ISEN1,-1000,1000,scaleNano,A,,%1.3f,,,,,6230,IIH_ISEN1,-1000,1000,scaleNano,A,,%1.3f,,,,,6230,IIH_ISEN1,-1000,1000,scaleNano,A,,%1.3f,,
6231,IIH_ISEN2,-500,500,scaleNano,A,,%1.3f,,,,,6231,IIH_ISEN2,-1000,1000,scaleNano,A,,%1.3f,,,,,6231,IIH_ISEN2,-1000,1000,scaleNano,A,,%1.3f,,,,,6231,IIH_ISEN2,-1000,1000,scaleNano,A,,%1.3f,,
6232,IIH_ISEN3,-500,500,scaleNano,A,,%1.3f,,,,,6232,IIH_ISEN3,-1000,1000,scaleNano,A,,%1.3f,,,,,6232,IIH_ISEN3,-1000,1000,scaleNano,A,,%1.3f,,,,,6232,IIH_ISEN3,-1000,1000,scaleNano,A,,%1.3f,,
6233,IIH_ISEN4,-500,500,scaleNano,A,,%1.3f,,,,,6233,IIH_ISEN4,-1000,1000,scaleNano,A,,%1.3f,,,,,6233,IIH_ISEN4,-1000,1000,scaleNano,A,,%1.3f,,,,,6233,IIH_ISEN4,-1000,1000,scaleNano,A,,%1.3f,,
6234,IIH_ISEN5,-500,500,scaleNano,A,,%1.3f,,,,,6234,IIH_ISEN5,-1000,1000,scaleNano,A,,%1.3f,,,,,6234,IIH_ISEN5,-1000,1000,scaleNano,A,,%1.3f,,,,,6234,IIH_ISEN5,-1000,1000,scaleNano,A,,%1.3f,,
6235,IIH_ISEN6,-500,500,scaleNano,A,,%1.3f,,,,,6235,IIH_ISEN6,-1000,1000,scaleNano,A,,%1.3f,,,,,6235,IIH_ISEN6,-1000,1000,scaleNano,A,,%1.3f,,,,,6235,IIH_ISEN6,-1000,1000,scaleNano,A,,%1.3f,,
6236,IIH_ISEN7,-500,500,scaleNano,A,,%1.3f,,,,,6236,IIH_ISEN7,-1000,1000,scaleNano,A,,%1.3f,,,,,6236,IIH_ISEN7,-1000,1000,scaleNano,A,,%1.3f,,,,,6236,IIH_ISEN7,-1000,1000,scaleNano,A,,%1.3f,,
6237,IIH_ISEN8,-500,500,scaleNano,A,,%1.3f,,,,,6237,IIH_ISEN8,-1000,1000,scaleNano,A,,%1.3f,,,,,6237,IIH_ISEN8,-1000,1000,scaleNano,A,,%1.3f,,,,,6237,IIH_ISEN8,-1000,1000,scaleNano,A,,%1.3f,,
